1 0 74.4294252272 165.707935799
2 0 102.574270309 195.035056856
3 0 141.031245205 191.630058687
4 0 67.1794471425 164.223064039
5 0 42.0563446097 72.8338870199
6 0 38.703613979 34.3268908414
7 0 30.8254484533 106.911474843
8 0 145.560035527 173.067386476
9 0 139.968861279 116.959593116
10 0 77.6349292551 127.738821264
11 0 115.580456715 45.0132481509
12 0 186.492911402 47.6538420028
13 0 39.0793757426 158.57631295
14 0 4.70971132953 126.313059392
15 0 159.612286724 31.664785171
1 0.2 74.4726639493 165.258244405
2 0.2 103.054712861 194.957864689
3 0.2 140.802316168 191.35087043
4 0.2 66.8245656776 164.421266136
5 0.2 42.3505597632 72.9888125871
6 0.2 38.3157840669 34.2559630436
7 0.2 31.1203724548 107.028651548
8 0.2 145.593195736 172.656199934
9 0.2 140.029172497 116.659334803
10 0.2 77.9729051349 127.417110968
11 0.2 115.116511328 45.1261891756
12 0.2 186.270196636 47.4300282243
13 0.2 39.0911613368 158.123414018
14 0.2 4.74413980686 125.982755096
15 0.2 159.616657085 32.0257483802
1 0.4 74.5159026714 164.808553011
2 0.4 103.535155412 194.880672522
3 0.4 140.573387131 191.071682172
4 0.4 66.4696842127 164.619468232
5 0.4 42.6447749166 73.1437381543
6 0.4 37.9279541548 34.1850352458
7 0.4 31.4152964564 107.145828253
8 0.4 145.626355945 172.245013391
9 0.4 140.089483715 116.35907649
10 0.4 78.3108810146 127.095400671
11 0.4 114.65256594 45.2391302002
12 0.4 186.04748187 47.2062144458
13 0.4 39.102946931 157.670515087
14 0.4 4.7785682842 125.652450801
15 0.4 159.621027447 32.3867115894
1 0.6 74.5591413934 164.358861617
2 0.6 104.015597964 194.803480355
3 0.6 140.344458094 190.792493915
4 0.6 66.1148027479 164.817670329
5 0.6 42.9389900701 73.2986637214
6 0.6 37.5401242427 34.1141074479
7 0.6 31.7102204579 107.263004958
8 0.6 145.659516154 171.833826849
9 0.6 140.149794933 116.058818176
10 0.6 78.6488568943 126.773690375
11 0.6 114.188620553 45.3520712249
12 0.6 185.824767104 46.9824006673
13 0.6 39.1147325252 157.217616155
14 0.6 4.81299676153 125.322146506
15 0.6 159.625397808 32.7476747986
1 0.8 74.6023801155 163.909170223
2 0.8 104.496040516 194.726288187
3 0.8 140.115529056 190.513305657
4 0.8 65.759921283 165.015872426
5 0.8 43.2332052235 73.4535892886
6 0.8 37.1522943305 34.0431796501
7 0.8 32.0051444595 107.380181663
8 0.8 145.692676362 171.422640307
9 0.8 140.21010615 115.758559863
10 0.8 78.986832774 126.451980078
11 0.8 113.724675165 45.4650122496
12 0.8 185.602052339 46.7585868887
13 0.8 39.1265181194 156.764717223
14 0.8 4.84742523887 124.991842211
15 0.8 159.629768169 33.1086380078
1 1 74.6456188376 163.459478829
2 1 104.976483067 194.64909602
3 1 139.886600019 190.2341174
4 1 65.4050398181 165.214074523
5 1 43.527420377 73.6085148558
6 1 36.7644644184 33.9722518523
7 1 32.300068461 107.497358368
8 1 145.725836571 171.011453764
9 1 140.270417368 115.458301549
10 1 79.3248086537 126.130269782
11 1 113.260729778 45.5779532742
12 1 185.379337573 46.5347731102
13 1 39.1383037135 156.311818292
14 1 4.8818537162 124.661537915
15 1 159.63413853 33.4696012171
1 1.2 74.6888575596 163.009787436
2 1.2 105.456925619 194.571903853
3 1.2 139.657670982 189.954929142
4 1.2 65.0501583532 165.412276619
5 1.2 43.8216355304 73.763440423
